,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD
2022-02-02 19:00:00+00:00,376.59967041015625,37606.46875,2709.6201171875,376.59967041015625,37606.46875,2709.6201171875,377.1224365234375,37655.3671875,2714.189453125,375.1025085449219,37468.0859375,2684.146240234375,375.1025085449219,37488.56640625,2684.146240234375,0,0,0
2022-02-02 20:00:00+00:00,375.8740234375,37593.85546875,2721.606201171875,375.8740234375,37593.85546875,2721.606201171875,376.5772399902344,37656.01953125,2721.8037109375,373.9440002441406,37459.078125,2698.66357421875,376.5772399902344,37607.12890625,2709.47412109375,3692800,46270464,249996288
2022-02-02 21:00:00+00:00,368.6603698730469,36910.6875,2641.072509765625,368.6603698730469,36910.6875,2641.072509765625,376.3883361816406,37595.9453125,2723.829833984375,367.55047607421875,36832.73046875,2630.120361328125,376.1252746582031,37594.140625,2721.806884765625,8426368,576120832,775984128
2022-02-02 22:00:00+00:00,369.6987609863281,37065.92578125,2682.580322265625,369.6987609863281,37065.92578125,2682.580322265625,371.0689392089844,37180.7734375,2693.862548828125,367.1059265136719,36898.3203125,2641.320068359375,368.5577697753906,36902.10546875,2641.320068359375,16304000,580622336,594344960
2022-02-02 23:00:00+00:00,367.40692138671875,36941.92578125,2681.110107421875,367.40692138671875,36941.92578125,2681.110107421875,370.7070617675781,37144.1953125,2697.10400390625,366.8953857421875,36918.17578125,2678.3623046875,369.8094787597656,37073.0,2682.743408203125,5918848,230998016,327403520
2022-02-03 00:00:00+00:00,368.3988342285156,36990.30859375,2703.134765625,368.3988342285156,36990.30859375,2703.134765625,369.306884765625,37035.21875,2712.482666015625,366.6741027832031,36894.25390625,2677.00244140625,367.370849609375,36944.8046875,2682.22607421875,0,215775232,374768640
2022-02-03 01:00:00+00:00,365.4785461425781,36922.7734375,2682.94677734375,365.4785461425781,36922.7734375,2682.94677734375,369.1753845214844,37016.49609375,2703.87890625,365.2272033691406,36907.1640625,2681.521240234375,368.3219909667969,36986.62890625,2701.9638671875,0,0,0
2022-02-03 02:00:00+00:00,365.9386291503906,36977.453125,2686.097412109375,365.9386291503906,36977.453125,2686.097412109375,366.20648193359375,36996.81640625,2688.4873046875,364.0327453613281,36843.76953125,2677.98486328125,365.55718994140625,36927.37109375,2683.9208984375,8779520,202614784,55227392
2022-02-03 03:00:00+00:00,365.73345947265625,36870.7578125,2663.01611328125,365.73345947265625,36870.7578125,2663.01611328125,367.0617370605469,36998.46484375,2687.984619140625,365.5180358886719,36862.578125,2662.480224609375,365.96282958984375,36978.96875,2686.4873046875,0,0,23404544
2022-02-03 04:00:00+00:00,366.484619140625,36960.52734375,2666.636474609375,366.484619140625,36960.52734375,2666.636474609375,366.94085693359375,36981.44921875,2671.966064453125,365.666748046875,36861.20703125,2659.711669921875,365.666748046875,36868.26171875,2663.109619140625,0,6395904,83879936
2022-02-03 05:00:00+00:00,367.5075988769531,37040.88671875,2660.017333984375,367.5075988769531,37040.88671875,2660.017333984375,367.84088134765625,37064.92578125,2666.456787109375,365.11883544921875,36898.9375,2655.25048828125,366.4278259277344,36958.16015625,2666.456787109375,0,113252352,62099456
2022-02-03 06:00:00+00:00,367.5672912597656,36977.21484375,2653.875244140625,367.5672912597656,36977.21484375,2653.875244140625,367.77978515625,37035.1875,2659.70849609375,366.6064758300781,36912.890625,2644.938232421875,367.4380798339844,37035.1875,2659.70849609375,0,0,0
2022-02-03 07:00:00+00:00,369.0777282714844,37065.90625,2672.1474609375,369.0777282714844,37065.90625,2672.1474609375,369.3129577636719,37084.640625,2672.591064453125,367.5616149902344,36969.87890625,2653.521728515625,367.5616149902344,36977.8671875,2653.830322265625,6340352,1388156928,349642752
2022-02-03 08:00:00+00:00,369.5906677246094,37088.54296875,2672.875,369.5906677246094,37088.54296875,2672.875,370.2209777832031,37115.99609375,2680.235595703125,368.5578918457031,37051.3828125,2668.31103515625,369.1090087890625,37066.54296875,2672.416259765625,0,0,37227520
2022-02-03 09:00:00+00:00,366.6934509277344,36881.20703125,2639.794921875,366.6934509277344,36881.20703125,2639.794921875,369.7350158691406,37101.671875,2673.73828125,366.6934509277344,36881.20703125,2639.794921875,369.6002197265625,37090.98046875,2672.937744140625,0,15953920,9743360
2022-02-03 10:00:00+00:00,361.41705322265625,36449.54296875,2602.15380859375,361.41705322265625,36449.54296875,2602.15380859375,366.3109436035156,36862.77734375,2638.415283203125,360.4913330078125,36375.5390625,2592.813720703125,366.3109436035156,36862.77734375,2638.415283203125,35936256,691929088,458921984
2022-02-03 11:00:00+00:00,364.5447082519531,36742.5234375,2620.681396484375,364.5447082519531,36742.5234375,2620.681396484375,364.5447082519531,36742.5234375,2621.003662109375,360.6908264160156,36381.83203125,2597.728271484375,361.3526611328125,36446.87109375,2601.7724609375,29700736,684476416,353214464
2022-02-03 12:00:00+00:00,364.977294921875,36678.7421875,2610.09033203125,364.977294921875,36678.7421875,2610.09033203125,364.977294921875,36776.4921875,2622.061279296875,361.3259582519531,36444.671875,2589.54541015625,364.53802490234375,36745.796875,2620.891845703125,6066560,429955072,0
2022-02-03 13:00:00+00:00,363.6442565917969,36550.12890625,2604.1689453125,363.6442565917969,36550.12890625,2604.1689453125,365.679931640625,36750.12890625,2622.748291015625,363.270751953125,36538.15234375,2603.1513671875,365.02099609375,36685.4375,2610.829833984375,0,0,0
2022-02-03 14:00:00+00:00,363.8393249511719,36579.015625,2613.451416015625,363.8393249511719,36579.015625,2613.451416015625,365.1360778808594,36713.08203125,2621.183349609375,363.4593200683594,36564.296875,2603.9658203125,363.8919677734375,36564.296875,2605.8388671875,0,0,0
2022-02-03 15:00:00+00:00,367.665771484375,36931.296875,2638.062744140625,367.665771484375,36931.296875,2638.062744140625,367.665771484375,36931.296875,2639.250732421875,363.6752624511719,36550.96484375,2611.613037109375,363.7917785644531,36574.98828125,2613.11474609375,0,0,0
2022-02-03 16:00:00+00:00,366.5096435546875,36785.4921875,2626.270751953125,366.5096435546875,36785.4921875,2626.270751953125,369.4420166015625,37030.75,2651.492919921875,366.5096435546875,36785.4921875,2626.270751953125,367.73193359375,36923.40234375,2638.530517578125,0,0,0
2022-02-03 17:00:00+00:00,366.1048278808594,36811.0625,2622.446533203125,366.1048278808594,36811.0625,2622.446533203125,367.1022644042969,36865.328125,2626.054931640625,364.4932556152344,36637.48046875,2610.687255859375,366.47918701171875,36788.17578125,2626.054931640625,0,0,0
2022-02-03 18:00:00+00:00,365.88330078125,36795.33984375,2626.242919921875,365.88330078125,36795.33984375,2626.242919921875,366.4559326171875,36834.0625,2630.295654296875,365.5284423828125,36749.171875,2615.94677734375,366.2325744628906,36819.84765625,2622.795654296875,0,0,0
2022-02-03 19:00:00+00:00,363.6210632324219,36595.515625,2604.09716796875,363.6210632324219,36595.515625,2604.09716796875,366.3916015625,36824.2265625,2626.88037109375,362.8857727050781,36527.61328125,2599.892333984375,365.8987121582031,36795.69921875,2626.134033203125,0,0,0
2022-02-03 20:00:00+00:00,363.3416442871094,36430.93359375,2589.56201171875,363.3416442871094,36430.93359375,2589.56201171875,364.69696044921875,36638.0078125,2608.4599609375,362.8688049316406,36388.13671875,2587.783447265625,363.5873718261719,36589.84765625,2603.746337890625,0,0,0
2022-02-03 21:00:00+00:00,369.959716796875,36992.05859375,2658.163330078125,369.959716796875,36992.05859375,2658.163330078125,370.1770324707031,36992.05859375,2658.163330078125,363.3876953125,36425.27734375,2588.402587890625,363.3876953125,36431.23828125,2589.13427734375,22701056,0,0
2022-02-03 22:00:00+00:00,368.80169677734375,36857.46875,2652.9765625,368.80169677734375,36857.46875,2652.9765625,370.3919677734375,36996.49609375,2666.328369140625,368.5696716308594,36844.66015625,2649.562255859375,369.9859619140625,36976.859375,2658.394775390625,0,0,0
2022-02-03 23:00:00+00:00,370.2000427246094,37071.63671875,2674.04150390625,370.2000427246094,37071.63671875,2674.04150390625,370.2000427246094,37071.63671875,2674.04150390625,368.8878479003906,36881.95703125,2655.1259765625,369.0555419921875,36881.95703125,2655.1259765625,0,0,0
2022-02-04 00:00:00+00:00,370.9292907714844,37182.375,2684.179931640625,370.9292907714844,37182.375,2684.179931640625,372.1019287109375,37260.140625,2689.9755859375,370.2841491699219,37149.265625,2681.0576171875,370.7108459472656,37149.265625,2681.0576171875,3363072,93272064,0
2022-02-04 01:00:00+00:00,370.4001770019531,37180.73828125,2680.590576171875,370.4001770019531,37180.73828125,2680.590576171875,371.1624755859375,37190.15625,2685.815673828125,369.817626953125,37093.62890625,2675.44384765625,370.9927062988281,37185.41015625,2684.772705078125,0,566988800,3761152
2022-02-04 02:00:00+00:00,371.6546630859375,37364.15234375,2691.466796875,371.6546630859375,37364.15234375,2691.466796875,372.03375244140625,37387.09765625,2694.0625,370.3745422363281,37174.4765625,2679.17822265625,370.4089050292969,37180.23828125,2680.1083984375,0,204756992,22375424
2022-02-04 03:00:00+00:00,371.15924072265625,37352.39453125,2688.0546875,371.15924072265625,37352.39453125,2688.0546875,372.2096862792969,37394.40625,2691.990234375,371.08404541015625,37330.375,2687.5361328125,371.52484130859375,37354.3515625,2690.66259765625,0,44050432,0
2022-02-04 04:00:00+00:00,371.5403137207031,37340.69140625,2685.49462890625,371.5403137207031,37340.69140625,2685.49462890625,371.6613464355469,37356.6953125,2687.595947265625,370.6194152832031,37272.41796875,2679.2421875,371.09765625,37352.984375,2687.595947265625,0,45920256,0
2022-02-04 05:00:00+00:00,375.6951599121094,37580.55078125,2767.99951171875,375.6951599121094,37580.55078125,2767.99951171875,376.1718444824219,37623.62890625,2768.364501953125,371.2225036621094,37315.82421875,2684.607177734375,371.53790283203125,37338.734375,2685.144775390625,47849856,600184832,1145277440
2022-02-04 06:00:00+00:00,377.8286437988281,37980.015625,2793.84765625,377.8286437988281,37980.015625,2793.84765625,377.84674072265625,37994.28515625,2797.606201171875,375.615478515625,37567.046875,2767.827392578125,375.6866760253906,37577.50390625,2767.913330078125,26376704,738598912,515842048
2022-02-04 07:00:00+00:00,377.4469909667969,37896.09765625,2800.743896484375,377.4469909667969,37896.09765625,2800.743896484375,378.51165771484375,38063.1328125,2800.977294921875,377.316650390625,37885.46875,2787.99365234375,377.8124694824219,37980.55078125,2794.19775390625,16191232,407838720,317358080
2022-02-04 08:00:00+00:00,378.73052978515625,37948.26953125,2833.1474609375,378.73052978515625,37948.26953125,2833.1474609375,379.6765441894531,38030.16796875,2839.93212890625,377.46881103515625,37897.06640625,2800.79052734375,377.46881103515625,37897.453125,2800.79052734375,24772224,452308992,943769600
2022-02-04 09:00:00+00:00,378.9969177246094,38072.3984375,2845.951416015625,378.9969177246094,38072.3984375,2845.951416015625,379.3588562011719,38088.0625,2847.203125,378.38006591796875,37941.64453125,2828.7275390625,378.72442626953125,37949.5078125,2833.486572265625,17235840,209944576,272185344
2022-02-04 10:00:00+00:00,378.3810119628906,37898.58203125,2832.693359375,378.3810119628906,37898.58203125,2832.693359375,379.6280517578125,38139.66015625,2855.74560546875,377.2016906738281,37885.96875,2831.38427734375,378.9394836425781,38065.98046875,2845.671630859375,0,0,0
2022-02-04 11:00:00+00:00,377.7608947753906,37863.0703125,2830.603271484375,377.7608947753906,37863.0703125,2830.603271484375,379.22894287109375,37957.5078125,2839.605224609375,377.7608947753906,37858.9375,2829.04931640625,378.3725891113281,37899.8515625,2832.745849609375,0,0,0
