Date,BNB-USD,BTC-USD,ETH-USD
2022-03-02 19:00:00+00:00,407.1770935058594,43719.41796875,2934.684814453125
2022-03-02 18:00:00+00:00,409.8454895019531,43937.24609375,2960.73974609375
2022-03-02 17:00:00+00:00,411.6078796386719,44362.55078125,2973.832763671875
2022-03-02 16:00:00+00:00,411.27850341796875,44412.47265625,2976.16015625
2022-03-02 15:00:00+00:00,414.149169921875,45077.578125,3026.364013671875
2022-03-02 14:00:00+00:00,412.18621826171875,44703.5546875,3015.951416015625
2022-03-02 13:00:00+00:00,411.81964111328125,44005.35546875,2986.10888671875
2022-03-02 12:00:00+00:00,414.5971984863281,44235.16796875,3017.771728515625
2022-03-02 11:00:00+00:00,413.62969970703125,44204.00390625,3007.50830078125
2022-03-02 10:00:00+00:00,414.5726013183594,44248.71875,3017.258544921875
2022-03-02 09:00:00+00:00,412.6636047363281,44040.1015625,2998.185546875
2022-03-02 08:00:00+00:00,413.3914489746094,44204.37890625,3001.316650390625
2022-03-02 07:00:00+00:00,410.5186767578125,43966.3671875,2975.55224609375
2022-03-02 06:00:00+00:00,413.6971130371094,44313.2265625,3000.915283203125
2022-03-02 05:00:00+00:00,412.7143249511719,44319.80078125,3003.52197265625
2022-03-02 04:00:00+00:00,414.8970947265625,44455.3828125,3026.8681640625
2022-03-02 03:00:00+00:00,414.1231689453125,44490.77734375,3017.87744140625
2022-03-02 02:00:00+00:00,411.01458740234375,44159.0625,2937.7099609375
2022-03-02 01:00:00+00:00,411.0982360839844,44341.546875,2955.035888671875
2022-03-02 00:00:00+00:00,409.0686950683594,44553.87109375,2974.073974609375
2022-03-01 23:00:00+00:00,409.0421142578125,44397.76171875,2975.4248046875
2022-03-01 22:00:00+00:00,408.06781005859375,44149.1015625,2969.015625
2022-03-01 21:00:00+00:00,408.74639892578125,44149.609375,2976.0458984375
2022-03-01 20:00:00+00:00,408.1084289550781,44023.84375,2970.92919921875
2022-03-01 19:00:00+00:00,409.16796875,43971.2109375,2968.212646484375
2022-03-01 18:00:00+00:00,408.2191162109375,43821.234375,2954.935302734375
2022-03-01 17:00:00+00:00,404.3601379394531,43735.26171875,2945.899169921875
2022-03-01 16:00:00+00:00,407.14605712890625,43903.8828125,2960.35009765625
2022-03-01 15:00:00+00:00,407.03662109375,43994.34375,2979.579833984375
2022-03-01 14:00:00+00:00,413.6357421875,44582.31640625,3029.651611328125
2022-03-01 13:00:00+00:00,413.1619567871094,44765.890625,3021.245361328125
2022-03-01 12:00:00+00:00,409.55029296875,44543.99609375,2943.53515625
2022-03-01 11:00:00+00:00,409.4306335449219,43661.97265625,2921.633056640625
2022-03-01 10:00:00+00:00,409.2626037597656,43473.69921875,2912.35498046875
2022-03-01 09:00:00+00:00,418.4899597167969,43469.33984375,2923.640625
2022-03-01 08:00:00+00:00,416.8925476074219,43530.53125,2925.95458984375
2022-03-01 07:00:00+00:00,412.87109375,43501.65625,2926.40673828125
2022-03-01 06:00:00+00:00,405.7854309082031,43411.6171875,2918.641845703125
2022-03-01 05:00:00+00:00,397.2882995605469,43332.80078125,2927.406982421875
2022-03-01 04:00:00+00:00,396.00506591796875,43323.9921875,2925.269775390625
2022-03-01 03:00:00+00:00,393.5177001953125,43143.8828125,2916.96142578125
2022-03-01 02:00:00+00:00,396.1659240722656,43277.53125,2920.63330078125
2022-03-01 01:00:00+00:00,398.90386962890625,43561.90234375,2948.518798828125
2022-03-01 00:00:00+00:00,399.3471374511719,43549.796875,2958.1787109375
2022-02-28 23:00:00+00:00,396.3116760253906,43263.23046875,2919.887451171875
2022-02-28 22:00:00+00:00,396.40338134765625,43760.45703125,2927.498046875
2022-02-28 21:00:00+00:00,386.9523620605469,41800.265625,2830.610107421875
2022-02-28 20:00:00+00:00,387.3759460449219,41823.58203125,2832.689453125
2022-02-28 19:00:00+00:00,384.32275390625,41308.18359375,2808.3828125
2022-02-28 18:00:00+00:00,384.0668029785156,41319.015625,2818.939208984375
2022-02-28 17:00:00+00:00,383.2133483886719,41100.43359375,2812.328369140625
2022-02-28 16:00:00+00:00,385.53387451171875,41175.984375,2824.418701171875
2022-02-28 15:00:00+00:00,382.5317077636719,40734.47265625,2815.828369140625
2022-02-28 14:00:00+00:00,375.8608093261719,39632.90234375,2733.510498046875
2022-02-28 13:00:00+00:00,367.5247497558594,38358.109375,2645.066162109375
2022-02-28 12:00:00+00:00,369.7524108886719,38547.078125,2657.341796875
2022-02-28 11:00:00+00:00,367.8619384765625,38403.3125,2641.75537109375
2022-02-28 10:00:00+00:00,368.090576171875,38387.6796875,2640.104736328125
2022-02-28 09:00:00+00:00,368.0625915527344,38502.30859375,2640.375244140625
2022-02-28 08:00:00+00:00,368.8508605957031,38543.13671875,2649.6494140625
2022-02-28 07:00:00+00:00,366.12554931640625,38354.0390625,2643.62158203125
2022-02-28 06:00:00+00:00,363.44024658203125,37950.0234375,2619.099365234375
2022-02-28 05:00:00+00:00,363.3451843261719,37961.49609375,2622.010498046875
2022-02-28 04:00:00+00:00,364.9432678222656,37998.0859375,2628.52001953125
2022-02-28 03:00:00+00:00,364.8362731933594,37860.29296875,2619.375732421875
2022-02-28 02:00:00+00:00,362.73089599609375,38102.49609375,2656.950927734375
2022-02-28 01:00:00+00:00,363.4983215332031,38248.4296875,2672.13330078125
2022-02-28 00:00:00+00:00,360.6020202636719,37741.22265625,2621.172119140625
2022-02-27 23:00:00+00:00,363.0977478027344,37811.32421875,2625.000244140625
2022-02-27 22:00:00+00:00,363.9336853027344,37831.6015625,2629.187744140625
